表頭=M|載具名稱|載具號碼|發票日期|商店統編|商店店名|發票號碼|總金額|發票狀態|
明細=D|發票號碼|小計|品項名稱|
D|AF31290478|229|BRUKSVARA bed tray white AP|
D|AF31290478|349|TERTIAL work lamp beige TW|
D|AF31290478|999|ANGSNEJLIKA dc/2pwc 200x200/50x80 grey/green AP|
D|AF31290478|149|STOPP N anti-slip underlay 67.5x200 AP|
D|AF31290478|798|SOCKERBIT stor box w lid 38x51x30 grey-green AP|
D|AF31290478|990|BROGGAN rug flatw in/out 133x195 dot patt multi AP|
D|AF31290478|0|Free gift|
M|手機條碼|/FBY9RLQ|20240629|50853088|宜家家居股份有限公司新店分公司|AF31290479|498|開立|
D|AF31290479|299|BROGGAN bowl 20 dot pattern white/yellow AP|
D|AF31290479|199|BROGGAN bowl 22 dot pattern white/yellow AP|
M|手機條碼|/FBY9RLQ|20240629|77601516|台灣壽司郎股份有限公司台北公館店|BP25384820|200|開立|
D|BP25384820|60|60元茶碗蒸|
D|BP25384820|60|60元盤子|
D|BP25384820|80|40元盤子|
M|手機條碼|/FBY9RLQ|20240630|28433909|新光三越百貨股份有限公司台北南西分公司三館|AY44493290|495|開立|
D|AY44493290|495|專門店Specialty Stores|
M|手機條碼|/FBY9RLQ|20240630|83190786|全支付電子支付股份有限公司|BG98295741|15|開立|
D|BG98295741|15|金流手續費|
